RUN_ID,Topology,Attack_Type,Avg_RSSI_dBm,DIO_Count_Window,DIS_Count_Window,Rank_Changes_Window,PDR_percent,Avg_Delay_ms,Throughput_kbps,Energy_Consumed_J,Normal,Flooding,Blackhole,Wormhole,Backoff_Manipulado
59,Grid_36,Normal,-65.6,29,4,1,97.72,14.4,35.57,0.36,1,0,0,0,0
60,Grid_36,Normal,-65.0,20,3,0,96.93,14.4,35.35,0.36,1,0,0,0,0
61,Grid_36,Normal,-64.3,29,3,1,95.17,14.4,36.21,0.36,1,0,0,0,0
62,Grid_36,Normal,-62.7,27,2,1,98.08,14.4,37.14,0.36,1,0,0,0,0
63,Grid_36,Normal,-67.8,24,3,0,98.67,14.4,37.03,0.36,1,0,0,0,0
64,Grid_36,Normal,-64.6,27,3,1,96.62,14.4,33.82,0.36,1,0,0,0,0
65,Grid_36,Normal,-62.7,32,4,2,100.0,14.4,34.51,0.36,1,0,0,0,0
66,Grid_36,Normal,-64.2,32,3,1,92.57,14.4,37.69,0.36,1,0,0,0,0
67,Grid_36,Normal,-65.7,25,3,0,90.34,14.4,32.9,0.36,1,0,0,0,0
68,Grid_36,Normal,-63.4,29,4,2,95.27,14.4,31.56,0.36,1,0,0,0,0
69,Grid_36,Normal,-65.3,26,4,0,100.0,14.4,38.78,0.36,1,0,0,0,0
70,Grid_36,Normal,-67.3,31,3,0,100.0,14.4,32.66,0.36,1,0,0,0,0
71,Grid_36,Normal,-68.0,33,2,1,100.0,14.4,28.26,0.36,1,0,0,0,0
72,Grid_36,Normal,-67.8,29,3,0,100.0,14.4,35.9,0.36,1,0,0,0,0
73,Grid_36,Normal,-66.3,29,3,2,88.7,14.4,33.31,0.36,1,0,0,0,0
74,Grid_36,Normal,-63.5,22,4,0,96.78,14.4,38.23,0.36,1,0,0,0,0
75,Grid_36,Normal,-68.4,28,2,2,85.68,14.4,29.89,0.36,1,0,0,0,0
76,Grid_36,Normal,-64.5,28,4,1,96.81,14.4,33.78,0.36,1,0,0,0,0
77,Grid_36,Normal,-66.4,29,3,2,94.4,14.4,34.24,0.36,1,0,0,0,0
78,Grid_36,Normal,-64.1,28,3,2,98.44,14.4,37.44,0.36,1,0,0,0,0
79,Grid_36,Normal,-65.9,29,4,0,95.4,14.4,34.52,0.36,1,0,0,0,0
80,Grid_36,Normal,-65.0,32,3,2,97.15,14.4,31.15,0.36,1,0,0,0,0
81,Grid_36,Normal,-66.6,24,3,1,99.67,14.4,33.14,0.36,1,0,0,0,0
82,Grid_36,Normal,-63.4,27,4,1,100.0,14.4,36.14,0.36,1,0,0,0,0
83,Grid_36,Normal,-60.9,31,3,2,100.0,14.4,32.64,0.36,1,0,0,0,0
84,Grid_36,Normal,-64.4,28,3,1,100.0,14.4,33.58,0.36,1,0,0,0,0
85,Grid_36,Normal,-67.6,27,2,0,95.51,14.4,37.05,0.36,1,0,0,0,0
86,Grid_36,Normal,-66.9,28,2,1,90.0,14.4,33.46,0.36,1,0,0,0,0
87,Grid_36,Normal,-67.0,27,2,1,100.0,14.4,37.74,0.36,1,0,0,0,0
88,Grid_36,Normal,-67.3,30,2,2,96.12,14.4,28.92,0.36,1,0,0,0,0
89,Grid_36,Normal,-64.9,27,4,1,100.0,14.4,31.42,0.36,1,0,0,0,0
90,Grid_36,Normal,-67.7,29,3,1,98.34,14.4,33.67,0.36,1,0,0,0,0
91,Grid_36,Normal,-61.6,29,3,0,99.79,14.4,32.82,0.36,1,0,0,0,0
92,Grid_36,Normal,-63.4,32,3,1,100.0,14.4,29.49,0.36,1,0,0,0,0
93,Grid_36,Normal,-68.7,29,4,2,100.0,14.4,31.64,0.36,1,0,0,0,0
94,Grid_36,Normal,-63.4,29,3,0,94.53,14.4,33.55,0.36,1,0,0,0,0
95,Grid_36,Normal,-64.4,25,3,1,100.0,14.4,32.16,0.36,1,0,0,0,0
96,Grid_36,Normal,-63.8,27,3,0,100.0,14.4,41.65,0.36,1,0,0,0,0
97,Grid_36,Normal,-63.6,31,3,0,100.0,14.4,40.18,0.36,1,0,0,0,0
98,Grid_36,Normal,-59.5,24,3,0,95.68,14.4,36.25,0.36,1,0,0,0,0
99,Grid_36,Normal,-65.1,31,3,1,99.62,14.4,33.68,0.36,1,0,0,0,0
100,Grid_36,Normal,-65.0,28,3,0,94.46,14.4,30.8,0.36,1,0,0,0,0
101,Grid_36,Normal,-68.4,27,2,1,100.0,14.4,35.23,0.36,1,0,0,0,0
103,Grid_36,Normal,-65.3,38,3,1,95.84,14.4,32.19,0.36,1,0,0,0,0
104,Grid_36,Normal,-62.8,23,3,0,100.0,14.4,37.38,0.36,1,0,0,0,0
105,Grid_36,Normal,-66.8,30,4,2,97.98,14.4,29.21,0.36,1,0,0,0,0
106,Grid_36,Normal,-66.5,27,2,1,95.71,14.4,42.43,0.36,1,0,0,0,0
107,Grid_36,Normal,-65.5,25,3,2,87.09,14.4,29.11,0.36,1,0,0,0,0
108,Grid_36,Normal,-65.5,29,4,1,100.0,14.4,33.17,0.36,1,0,0,0,0
109,Grid_36,Normal,-59.2,29,3,1,100.0,14.4,33.83,0.36,1,0,0,0,0
110,Grid_36,Normal,-66.1,27,3,0,99.57,14.4,28.65,0.36,1,0,0,0,0
111,Grid_36,Normal,-69.4,28,3,0,90.85,14.4,39.71,0.36,1,0,0,0,0
112,Grid_36,Normal,-65.5,26,4,0,95.22,14.4,34.75,0.36,1,0,0,0,0
114,Grid_36,Normal,-66.2,32,3,2,98.24,14.4,38.49,0.36,1,0,0,0,0
115,Grid_36,Normal,-66.1,28,2,2,92.05,14.4,29.73,0.36,1,0,0,0,0
116,Grid_36,Normal,-60.3,31,3,0,97.58,14.4,34.28,0.36,1,0,0,0,0
117,Grid_36,Normal,-66.9,32,3,0,97.16,14.4,35.17,0.36,1,0,0,0,0
118,Grid_36,Normal,-62.1,30,2,2,96.36,14.4,31.61,0.36,1,0,0,0,0
119,Grid_36,Normal,-63.0,31,3,2,96.02,14.4,35.01,0.36,1,0,0,0,0
120,Grid_36,Normal,-65.7,24,3,2,100.0,14.4,34.64,0.36,1,0,0,0,0
122,Grid_36,Normal,-64.6,31,3,1,95.92,14.4,34.88,0.36,1,0,0,0,0
123,Grid_36,Normal,-65.8,28,3,0,99.63,14.4,33.56,0.36,1,0,0,0,0
124,Grid_36,Normal,-64.9,24,3,0,90.13,14.4,38.48,0.36,1,0,0,0,0
125,Grid_36,Normal,-59.4,29,3,2,100.0,14.4,31.6,0.36,1,0,0,0,0
127,Grid_36,Normal,-67.8,30,2,2,99.6,14.4,36.85,0.36,1,0,0,0,0
128,Grid_36,Normal,-64.9,25,3,0,93.65,14.4,37.61,0.36,1,0,0,0,0
129,Grid_36,Normal,-66.0,29,3,2,100.0,14.4,33.42,0.36,1,0,0,0,0
130,Grid_36,Normal,-66.8,28,2,0,97.85,14.4,28.62,0.36,1,0,0,0,0
131,Grid_36,Normal,-66.8,27,3,2,100.0,14.4,34.4,0.36,1,0,0,0,0
133,Grid_36,Normal,-66.4,32,2,0,100.0,14.4,34.63,0.36,1,0,0,0,0
134,Grid_36,Normal,-61.5,30,2,2,96.73,14.4,34.68,0.36,1,0,0,0,0
135,Grid_36,Normal,-60.3,34,3,2,100.0,14.4,37.17,0.36,1,0,0,0,0
137,Grid_36,Normal,-69.8,26,3,0,100.0,14.4,31.61,0.36,1,0,0,0,0
138,Grid_36,Normal,-65.9,27,3,0,100.0,14.4,31.84,0.36,1,0,0,0,0
139,Grid_36,Normal,-62.9,32,3,0,98.51,14.4,35.52,0.36,1,0,0,0,0
140,Grid_36,Normal,-61.5,36,3,1,95.96,14.4,32.24,0.36,1,0,0,0,0
141,Grid_36,Normal,-62.3,28,4,1,96.7,14.4,30.17,0.36,1,0,0,0,0
142,Grid_36,Normal,-66.2,28,4,2,100.0,14.4,33.73,0.36,1,0,0,0,0
143,Grid_36,Normal,-64.9,33,3,2,98.3,14.4,29.54,0.36,1,0,0,0,0
144,Grid_36,Normal,-65.7,30,3,2,98.77,14.4,35.01,0.36,1,0,0,0,0
145,Grid_36,Normal,-67.4,28,3,2,100.0,14.4,36.62,0.36,1,0,0,0,0
146,Grid_36,Normal,-64.6,30,3,2,100.0,14.4,36.06,0.36,1,0,0,0,0
147,Grid_36,Normal,-66.3,27,3,2,100.0,14.4,31.05,0.36,1,0,0,0,0
148,Grid_36,Normal,-64.1,31,3,1,89.77,14.4,34.37,0.36,1,0,0,0,0
149,Grid_36,Normal,-66.7,33,3,2,96.83,14.4,36.25,0.36,1,0,0,0,0
150,Grid_36,Normal,-67.4,25,4,0,97.71,14.4,36.37,0.36,1,0,0,0,0
151,Grid_36,Normal,-65.9,28,2,1,94.24,14.4,30.59,0.36,1,0,0,0,0
152,Grid_36,Normal,-67.2,27,3,0,96.11,14.4,31.29,0.36,1,0,0,0,0
153,Grid_36,Normal,-62.5,28,4,0,99.44,14.4,42.48,0.36,1,0,0,0,0
154,Grid_36,Normal,-65.8,29,4,2,97.57,14.4,34.21,0.36,1,0,0,0,0
155,Grid_36,Normal,-65.0,30,3,0,100.0,14.4,37.22,0.36,1,0,0,0,0
156,Grid_36,Normal,-66.3,30,3,2,100.0,14.4,32.46,0.36,1,0,0,0,0
157,Grid_36,Normal,-62.6,22,3,1,96.08,14.4,38.12,0.36,1,0,0,0,0
158,Grid_36,Normal,-64.7,24,3,1,100.0,14.4,35.72,0.36,1,0,0,0,0
159,Grid_36,Normal,-64.4,28,2,1,97.45,14.4,36.74,0.36,1,0,0,0,0
160,Grid_36,Normal,-64.6,29,2,2,96.48,14.4,34.91,0.36,1,0,0,0,0
161,Grid_36,Normal,-65.8,30,2,0,88.16,14.4,34.65,0.36,1,0,0,0,0
162,Grid_36,Normal,-64.5,35,3,0,99.17,14.4,32.94,0.36,1,0,0,0,0
163,Grid_36,Normal,-64.8,32,3,0,92.95,14.4,34.92,0.36,1,0,0,0,0
164,Grid_36,Normal,-65.7,28,4,1,99.65,14.4,32.02,0.36,1,0,0,0,0
165,Grid_36,Normal,-62.9,32,3,1,97.7,14.4,37.81,0.36,1,0,0,0,0
166,Grid_36,Normal,-66.7,28,3,1,99.71,14.4,34.07,0.36,1,0,0,0,0
167,Grid_36,Normal,-66.0,26,3,1,100.0,14.4,37.71,0.36,1,0,0,0,0
169,Grid_36,Normal,-65.5,27,4,1,93.88,14.4,26.48,0.36,1,0,0,0,0
170,Grid_36,Normal,-63.8,26,4,1,98.62,14.4,33.36,0.36,1,0,0,0,0
171,Grid_36,Normal,-67.0,27,2,1,98.06,14.4,33.04,0.36,1,0,0,0,0
172,Grid_36,Normal,-65.6,30,4,2,97.17,14.4,31.03,0.36,1,0,0,0,0
173,Grid_36,Normal,-65.7,30,2,2,100.0,14.4,40.72,0.36,1,0,0,0,0
174,Grid_36,Normal,-65.2,28,3,2,100.0,14.4,38.13,0.36,1,0,0,0,0
175,Grid_36,Normal,-65.4,25,3,0,100.0,14.4,37.71,0.36,1,0,0,0,0
176,Grid_36,Normal,-66.0,24,3,2,98.42,14.4,37.86,0.36,1,0,0,0,0
177,Grid_36,Normal,-63.2,25,4,1,95.42,14.4,33.9,0.36,1,0,0,0,0
178,Grid_36,Normal,-68.0,28,4,1,93.85,14.4,29.3,0.36,1,0,0,0,0
179,Grid_36,Normal,-65.0,28,3,2,99.13,14.4,34.52,0.36,1,0,0,0,0
180,Grid_36,Normal,-63.2,31,3,0,100.0,14.4,38.17,0.36,1,0,0,0,0
181,Grid_36,Normal,-65.5,23,2,0,100.0,14.4,31.37,0.36,1,0,0,0,0
182,Grid_36,Normal,-63.9,25,3,0,100.0,14.4,27.73,0.36,1,0,0,0,0
183,Grid_36,Normal,-65.3,30,3,1,98.68,14.4,27.21,0.36,1,0,0,0,0
184,Grid_36,Normal,-66.2,28,3,2,99.95,14.4,32.92,0.36,1,0,0,0,0
185,Grid_36,Normal,-68.3,26,3,1,100.0,14.4,35.63,0.36,1,0,0,0,0
186,Grid_36,Normal,-66.1,35,3,1,100.0,14.4,37.78,0.36,1,0,0,0,0
187,Grid_36,Normal,-61.0,27,3,0,96.56,14.4,29.41,0.36,1,0,0,0,0
188,Grid_36,Normal,-68.2,33,3,2,100.0,14.4,40.29,0.36,1,0,0,0,0
189,Grid_36,Normal,-64.9,28,2,0,99.02,14.4,42.13,0.36,1,0,0,0,0
190,Grid_36,Normal,-66.2,28,3,1,90.53,14.4,31.53,0.36,1,0,0,0,0
191,Grid_36,Normal,-65.4,26,3,2,99.6,14.4,35.86,0.36,1,0,0,0,0
192,Grid_36,Normal,-61.1,27,3,1,95.83,14.4,31.26,0.36,1,0,0,0,0
193,Grid_36,Normal,-66.9,33,4,2,100.0,14.4,37.06,0.36,1,0,0,0,0
194,Grid_36,Normal,-64.4,28,3,1,99.67,14.4,30.3,0.36,1,0,0,0,0
195,Grid_36,Normal,-63.0,30,3,1,91.34,14.4,37.91,0.36,1,0,0,0,0
198,Grid_36,Normal,-65.2,29,3,2,96.5,14.4,34.98,0.36,1,0,0,0,0
199,Grid_36,Normal,-70.6,30,3,2,97.9,14.4,40.18,0.36,1,0,0,0,0
200,Grid_36,Normal,-62.9,28,2,1,100.0,14.4,31.3,0.36,1,0,0,0,0
201,Grid_36,Normal,-59.5,30,3,1,100.0,14.4,33.97,0.36,1,0,0,0,0
202,Grid_36,Normal,-69.1,22,3,0,97.88,14.4,39.73,0.36,1,0,0,0,0
203,Grid_36,Normal,-66.8,28,3,2,97.47,14.4,33.25,0.36,1,0,0,0,0
205,Grid_36,Normal,-64.8,28,3,2,100.0,14.4,34.98,0.36,1,0,0,0,0
206,Grid_36,Normal,-63.2,33,3,0,100.0,14.4,28.6,0.36,1,0,0,0,0
207,Grid_36,Normal,-64.4,27,3,0,92.84,14.4,35.24,0.36,1,0,0,0,0
208,Grid_36,Normal,-65.4,29,3,1,98.37,14.4,27.1,0.36,1,0,0,0,0
210,Grid_36,Normal,-63.3,24,3,2,100.0,14.4,40.53,0.36,1,0,0,0,0
211,Grid_36,Normal,-65.3,27,3,1,100.0,14.4,37.86,0.36,1,0,0,0,0
212,Grid_36,Normal,-64.3,29,3,1,99.26,14.4,33.78,0.36,1,0,0,0,0
214,Grid_36,Normal,-67.7,28,3,2,99.45,14.4,29.7,0.36,1,0,0,0,0
215,Grid_36,Normal,-64.4,29,4,1,100.0,14.4,32.56,0.36,1,0,0,0,0
216,Grid_36,Normal,-65.9,25,4,0,96.59,14.4,38.29,0.36,1,0,0,0,0
217,Grid_36,Normal,-68.9,29,3,0,90.14,14.4,33.88,0.36,1,0,0,0,0
218,Grid_36,Normal,-64.3,33,3,2,100.0,14.4,37.5,0.36,1,0,0,0,0
219,Grid_36,Normal,-68.2,28,3,2,95.5,14.4,34.95,0.36,1,0,0,0,0
220,Grid_36,Normal,-64.4,32,2,2,100.0,14.4,29.01,0.36,1,0,0,0,0
221,Grid_36,Normal,-66.0,32,3,0,99.39,14.4,33.83,0.36,1,0,0,0,0
222,Grid_36,Normal,-66.1,30,3,0,90.43,14.4,31.92,0.36,1,0,0,0,0
223,Grid_36,Normal,-64.4,30,3,1,99.15,14.4,34.93,0.36,1,0,0,0,0
224,Grid_36,Normal,-65.7,30,3,2,94.54,14.4,35.93,0.36,1,0,0,0,0
225,Grid_36,Normal,-66.0,26,3,0,93.61,14.4,35.95,0.36,1,0,0,0,0
226,Grid_36,Normal,-64.3,30,4,2,91.74,14.4,40.47,0.36,1,0,0,0,0
227,Grid_36,Normal,-65.0,24,4,1,100.0,14.4,34.17,0.36,1,0,0,0,0
228,Grid_36,Normal,-67.1,29,3,2,100.0,14.4,29.43,0.36,1,0,0,0,0
229,Grid_36,Normal,-66.9,30,3,0,96.01,14.4,31.42,0.36,1,0,0,0,0
230,Grid_36,Normal,-65.2,27,4,1,90.16,14.4,31.27,0.36,1,0,0,0,0
231,Grid_36,Normal,-64.7,27,5,1,100.0,14.4,31.5,0.36,1,0,0,0,0
232,Grid_36,Normal,-65.7,28,3,0,100.0,14.4,32.05,0.36,1,0,0,0,0
233,Grid_36,Normal,-62.9,30,4,0,100.0,14.4,38.48,0.36,1,0,0,0,0
234,Grid_36,Normal,-61.7,26,4,2,88.44,14.4,35.23,0.36,1,0,0,0,0
235,Grid_36,Normal,-64.1,26,3,2,94.75,14.4,39.68,0.36,1,0,0,0,0
236,Grid_36,Normal,-67.3,25,3,0,97.39,14.4,41.28,0.36,1,0,0,0,0
237,Grid_36,Normal,-64.3,24,4,1,100.0,14.4,35.17,0.36,1,0,0,0,0
238,Grid_36,Normal,-61.2,27,4,1,100.0,14.4,32.51,0.36,1,0,0,0,0
239,Grid_36,Normal,-65.5,27,3,1,96.35,14.4,36.65,0.36,1,0,0,0,0
240,Grid_36,Normal,-64.6,33,3,1,100.0,14.4,35.38,0.36,1,0,0,0,0
241,Grid_36,Normal,-65.5,29,3,1,98.17,14.4,32.95,0.36,1,0,0,0,0
242,Grid_36,Normal,-64.7,26,2,0,100.0,14.4,40.12,0.36,1,0,0,0,0
243,Grid_36,Normal,-64.8,22,2,2,99.16,14.4,37.89,0.36,1,0,0,0,0
244,Grid_36,Normal,-67.1,28,3,2,93.03,14.4,39.38,0.36,1,0,0,0,0
245,Grid_36,Normal,-64.5,28,4,1,100.0,14.4,34.05,0.36,1,0,0,0,0
246,Grid_36,Normal,-66.2,27,3,1,96.42,14.4,31.74,0.36,1,0,0,0,0
247,Grid_36,Normal,-63.1,26,3,1,94.04,14.4,32.06,0.36,1,0,0,0,0
248,Grid_36,Normal,-64.3,28,3,0,99.25,14.4,32.71,0.36,1,0,0,0,0
249,Grid_36,Normal,-63.8,28,3,0,97.33,14.4,37.07,0.36,1,0,0,0,0
250,Grid_36,Normal,-68.5,27,3,2,87.6,14.4,33.85,0.36,1,0,0,0,0
251,Grid_36,Normal,-68.6,29,4,1,93.58,14.4,39.22,0.36,1,0,0,0,0
252,Grid_36,Normal,-64.6,31,2,0,94.9,14.4,35.42,0.36,1,0,0,0,0
253,Grid_36,Normal,-66.0,32,3,2,89.65,14.4,31.5,0.36,1,0,0,0,0
254,Grid_36,Normal,-66.7,24,4,2,100.0,14.4,38.85,0.36,1,0,0,0,0
255,Grid_36,Normal,-65.1,24,3,2,98.26,14.4,29.59,0.36,1,0,0,0,0
256,Grid_36,Normal,-65.4,29,3,1,100.0,14.4,31.96,0.36,1,0,0,0,0
257,Grid_36,Normal,-63.3,28,4,0,86.19,14.4,36.39,0.36,1,0,0,0,0
258,Grid_36,Normal,-62.6,27,3,0,95.35,14.4,30.59,0.36,1,0,0,0,0
259,Grid_36,Normal,-63.3,31,2,1,100.0,14.4,32.03,0.36,1,0,0,0,0
260,Grid_36,Normal,-66.2,30,3,1,100.0,14.4,29.7,0.36,1,0,0,0,0
261,Grid_36,Normal,-68.1,25,2,0,94.5,14.4,36.8,0.36,1,0,0,0,0
262,Grid_36,Normal,-66.8,28,3,2,94.65,14.4,37.47,0.36,1,0,0,0,0
264,Grid_36,Normal,-63.9,29,3,1,88.45,14.4,39.01,0.36,1,0,0,0,0
265,Grid_36,Normal,-64.3,27,3,1,95.4,14.4,35.71,0.36,1,0,0,0,0
266,Grid_36,Normal,-67.4,27,4,1,90.21,14.4,39.33,0.36,1,0,0,0,0
267,Grid_36,Normal,-62.8,24,3,1,97.41,14.4,38.18,0.36,1,0,0,0,0
269,Grid_36,Normal,-64.6,28,3,1,100.0,14.4,27.2,0.36,1,0,0,0,0
270,Grid_36,Normal,-64.3,25,3,1,100.0,14.4,28.63,0.36,1,0,0,0,0
271,Grid_36,Normal,-64.5,29,2,1,88.02,14.4,32.36,0.36,1,0,0,0,0
272,Grid_36,Normal,-69.7,27,3,0,100.0,14.4,33.16,0.36,1,0,0,0,0
273,Grid_36,Normal,-64.6,28,3,2,91.89,14.4,42.12,0.36,1,0,0,0,0
274,Grid_36,Normal,-62.7,31,3,2,96.86,14.4,36.44,0.36,1,0,0,0,0
275,Grid_36,Normal,-66.4,30,4,0,100.0,14.4,34.77,0.36,1,0,0,0,0
276,Grid_36,Normal,-66.6,28,4,1,94.67,14.4,34.94,0.36,1,0,0,0,0
277,Grid_36,Normal,-69.0,28,3,0,100.0,14.4,33.63,0.36,1,0,0,0,0
278,Grid_36,Normal,-65.8,30,2,1,100.0,14.4,34.12,0.36,1,0,0,0,0
279,Grid_36,Normal,-66.1,24,4,2,100.0,14.4,35.51,0.36,1,0,0,0,0
280,Grid_36,Normal,-64.0,26,4,1,100.0,14.4,27.37,0.36,1,0,0,0,0
281,Grid_36,Normal,-68.7,27,4,2,97.82,14.4,37.16,0.36,1,0,0,0,0
282,Grid_36,Normal,-65.3,27,3,2,97.47,14.4,35.54,0.36,1,0,0,0,0
283,Grid_36,Normal,-64.2,29,3,2,100.0,14.4,38.73,0.36,1,0,0,0,0
284,Grid_36,Normal,-62.6,27,3,0,100.0,14.4,37.77,0.36,1,0,0,0,0
285,Grid_36,Normal,-64.5,32,2,1,100.0,14.4,38.54,0.36,1,0,0,0,0
286,Grid_36,Normal,-67.1,23,3,0,99.58,14.4,33.08,0.36,1,0,0,0,0
287,Grid_36,Normal,-67.3,27,3,2,99.77,14.4,37.87,0.36,1,0,0,0,0
288,Grid_36,Normal,-60.7,30,2,2,100.0,14.4,30.84,0.36,1,0,0,0,0
289,Grid_36,Normal,-66.7,26,3,2,98.02,14.4,35.42,0.36,1,0,0,0,0
290,Grid_36,Normal,-68.3,23,3,1,100.0,14.4,32.62,0.36,1,0,0,0,0
291,Grid_36,Normal,-65.9,27,2,0,100.0,14.4,37.55,0.36,1,0,0,0,0
292,Grid_36,Normal,-60.5,31,4,2,92.83,14.4,34.02,0.36,1,0,0,0,0
293,Grid_36,Normal,-64.1,25,3,2,100.0,14.4,37.19,0.36,1,0,0,0,0
294,Grid_36,Normal,-65.4,23,3,1,97.36,14.4,28.39,0.36,1,0,0,0,0
295,Grid_36,Normal,-63.5,25,3,0,87.65,14.4,35.35,0.36,1,0,0,0,0
296,Grid_36,Normal,-61.5,27,3,1,100.0,14.4,27.53,0.36,1,0,0,0,0
297,Grid_36,Normal,-61.6,25,4,1,98.3,14.4,35.42,0.36,1,0,0,0,0
